recordation_number,location_recordation_number,well_id,appendix_name,owner,x_stateplane_nad27_ca_zone7_ft,y_stateplane_nad27_ca_zone7_ft,ground_surface_ft_msl,production_2014_15_afy,gflow_pumping_ft3_day_positive_extraction,modflow_well_ft3_day_negative_extraction,production_pdf_page,location_pdf_page
1903057,1903057,3,3,California Domestic Water Company,4285828,4134755,292,6216,741832.767,-741832.767,337,218
1901183,1901183,5,5,California Domestic Water Company,4286257,4136149,300,0,0.000,-0.000,337,218
1902967,1902967,6,6,California Domestic Water Company,4286105,4136229,299,3026,361130.301,-361130.301,337,218
1903081,1903081,8,8,California Domestic Water Company,4285050,4134016,290,2919,348360.658,-348360.658,337,218
1901411,1901411,01 SOUTH,1,Cedar Avenue Mutual Water Company,4281836,4143160,310,0,0.000,-0.000,338,218
1900908,1900908,1,1,Champion Mutual Water Company,4286091,4144319,325,0,0.000,-0.000,338,218
1902816,1902816,2,2,Champion Mutual Water Company,4286091,4144296,327,1,119.342,-119.342,338,218
8000121,8000121,3,3,Champion Mutual Water Company,4285968,4144438,323,50,5967.123,-5967.123,338,218
1902581,1902581,1,1,City of Industry,4286394,4130643,286,0,0.000,-0.000,340,218
1902582,1902582,2,2,City of Industry,4286327,4130501,285,0,0.000,-0.000,340,218
8000078,8000078,3,3,City of Industry,4286474,4130779,285,0,0.000,-0.000,340,218
8000096,8000096,4,4,City of Industry,4286464,4130811,285,0,0.000,-0.000,340,218
8000097,8000097,5,5,City of Industry,4286221,4130303,285,1386,165408.658,-165408.658,340,218
1901055,1901055,CI2,2,Clayton Manufacturing Company,4269687,4143842,307,0,0.000,-0.000,338,218
8000170,8000170,MW-4,MW-4,Clayton Manufacturing Company,4269157,4143580,303,0,0.000,-0.000,338,218
1902920,1902920,E-DURBIN,E DUR,Conrock Company (also CALMAT),4291397,4143358,330,0,0.000,-0.000,338,218
8000063,8000063,W-DURBIN,W DUR,Conrock Company (also CALMAT),4291136,4143419,340,0,0.000,-0.000,338,218
1903088,1903088,01-REL,1 REL,Conrock Company (also Ca. Portland Cement),4306783,4161518,550,421,50243.178,-50243.178,338,218
1902814,1902814,1,1,Corcoran Brothers,4315386,4169271,800,0,0.000,-0.000,338,218
1900885,1900885,BALDWIN 1,1 BAL,Covina Irrigating Company,4304463,4145113,401,278,33177.205,-33177.205,339,218
1900883,1900883,BALDWIN 2,2 BAL,Covina Irrigating Company,4304322,4145025,402,1150,137243.836,-137243.836,339,218
1900882,1900882,BALDWIN 3,3 BAL,Covina Irrigating Company,4304401,4145023,401,1916,228660.164,-228660.164,339,218
1900881,1900881,CONTRACT,CONTR,Covina Irrigating Company,4313398,4153091,496,0,0.000,-0.000,339,218
1901686,1901686,02(GRAND AVE),2,"Covina, City of",4326305,4146721,620,0,0.000,-0.000,339,218
8000012,8000012,1,,Crown City Plating Co.,4271118,4143831,298,0,0.000,-0.000,339,218
1900331,1900331,BURKETT,BURKE,Del Rio Mutual Water Company,4281306,4129441,270,114,13605.041,-13605.041,339,218
1900332,1900332,KLINGERMAN,KLING,Del Rio Mutual Water Company,4281771,4130008,270,0,0.000,-0.000,339,219
1900415,1900415,Banks,,Doyle & Madruga (Banks),4293118,4167917,692,34,4057.644,-4057.644,337,219
1902924,1902924,DDairy1,1,Driftwood Dairy,4277458,4146146,303,0,0.000,-0.000,339,219
1900091,1900091,1910,1910,"Dunning, George",4341821,4152838,963,0,0.000,-0.000,339,219
11901508,11901508,9,9,"East Pasadena Water Company, Ltd.",4267883,4157603,503,1438,171614.466,-171614.466,339,219
1901699,1901699,10,10,"El Monte, City of",4277622,4139397,277,1059,126383.671,-126383.671,340,219
1901700,1901700,11,11,"El Monte, City of",4269775,4136816,316,0,0.000,-0.000,340,219
1903137,1903137,12,12,"El Monte, City of",4274576,4138901,269,0,0.000,-0.000,340,219
8000101,8000101,13,13,"El Monte, City of",4275213,4139990,279,737,87955.397,-87955.397,340,219
1901692,1901692,2A,2A,"El Monte, City of",4276548,4139222,285,486,58000.438,-58000.438,339,219
1901693,1901693,3,3,"El Monte, City of",4275636,4139909,286,0,0.000,-0.000,339,219
1901694,1901694,4,4,"El Monte, City of",4277074,4136593,273,0,0.000,-0.000,339,219
1901695,1901695,5,5,"El Monte, City of",4274821,4141766,285,0,0.000,-0.000,340,219
1902612,1902612,MTN. VIEW,MT VW,"El Monte, City of",4281290,4133235,280,0,0.000,-0.000,340,219
1901523,1901523,01E,1-E,"Glendora, City of",4334122,4166155,941,0,0.000,-0.000,340,219
1901526,1901526,02E,2-E,"Glendora, City of",4334207,4166882,968,173,20646.247,-20646.247,340,219
1901525,1901525,03G,3-G,"Glendora, City of",4312209,4151372,472,0,0.000,-0.000,340,219
1901524,1901524,04E,4-E,"Glendora, City of",4312293,4151359,472,0,0.000,-0.000,340,219
8000149,8000149,05E,5-E,"Glendora, City of",4310923,4165579,662,1810,216009.863,-216009.863,340,219
1900831,1900831,07G,7-G,"Glendora, City of",4312390,4156346,529,0,0.000,-0.000,340,219
1900829,1900829,08E,8-E,"Glendora, City of",4313383,4166317,681,1305,155741.918,-155741.918,340,219
1900830,1900830,09E,9-E,"Glendora, City of",4313380,4166586,681,1931,230450.301,-230450.301,340,219
1900828,1900828,10E,10-E,"Glendora, City of",4333049,4165127,910,15,1790.137,-1790.137,340,219
1900826,1900826,11E,11-E,"Glendora, City of",4332051,4164083,857,381,45469.479,-45469.479,340,219
1900827,1900827,12G,12-G,"Glendora, City of",4313208,4166128,681,1878,224125.151,-224125.151,340,219
8000184,8000184,13-E,13-E,"Glendora, City of",4306002,4151279,466,951,113494.685,-113494.685,340,219
8000212,8000212,HWY-2,HIGHWAY 2,Golden State Water Company,4330064,4157636,732,838,100008.986,-100008.986,345,219
8000028,8000028,NORTH,,"Green, Walter",4272890,4118688,230,0,0.000,-0.000,340,219
8000027,8000027,SOUTH,,"Green, Walter",4273229,4118850,219,0,0.000,-0.000,340,219
1901178,1901178,NORTH,NORTH,Hemlock Mutual Water Company,4285942,4147212,337,28,3341.589,-3341.589,340,219
1902806,1902806,SOUTH,SOUTH,Hemlock Mutual Water Company,4285929,4147139,337,47,5609.096,-5609.096,340,219
1902970,1902970,1902970,,"Kiyan, Hideo",4304306,4135071,366,0,0.000,-0.000,340,219
8000209,8000209,8000209,5,La Puente Valley County Water District,4297769,4136717,340,2882,343944.986,-343944.986,341,220
1901460,1901460,LaPuente 2,2,La Puente Valley County Water District,4297650,4136806,337,324,38666.959,-38666.959,341,219
1902859,1902859,LaPuente3,3,La Puente Valley County Water District,4297918,4136616,335,57,6802.521,-6802.521,341,219
8000062,8000062,LaPuente4,4,La Puente Valley County Water District,4297785,4136732,335,0,0.000,-0.000,341,220
1900961,1900961,1 DUARTE,1 DUA,"Livingston-Graham, Inc.",4293463,4157097,424,0,0.000,-0.000,341,220
1901492,1901492,1 EL (#409),1 EL,"Livingston-Graham, Inc.",4290530,4150481,365,124,14798.466,-14798.466,341,220
1901493,1901493,3 EL,3 EL,"Livingston-Graham, Inc.",4291160,4150746,367,0,0.000,-0.000,341,220
1903006,1903006,4 EL (#408),4 EL,"Livingston-Graham, Inc.",4290639,4150391,363,0,0.000,-0.000,341,220
8000150,8000150,3A,3A,"Los Angeles, County of",4265467,4128245,202,0,0.000,-0.000,341,220
8000070,8000070,SANTA FE 1,1 SF,"Los Angeles, County of",4305251,4156787,520,936,111704.548,-111704.548,341,220
1902579,1902579,WHITTIER 1,1 WHI,"Los Angeles, County of",4271282,4123690,219,0,0.000,-0.000,341,220
1902580,1902580,WHITTIER 2,2,"Los Angeles, County of",4271866,4125725,203,0,0.000,-0.000,341,220
1902663,1902663,WHITTIER 3,3,"Los Angeles, County of",4265163,4128827,220,0,0.000,-0.000,341,220
1902664,1902664,WHITTIER 4,4,"Los Angeles, County of",4265586,4130868,230,0,0.000,-0.000,341,220
1902665,1902665,WHITTIER 5,5,"Los Angeles, County of",4265865,4132900,226,0,0.000,-0.000,341,220
1902666,1902666,WHITTIER 6,6,"Los Angeles, County of",4264115,4130458,233,0,0.000,-0.000,341,220
8000088,8000088,BIG RED,B RED,"Los Angeles, County of (WN Nature Center)",4274198,4124823,223,0,0.000,-0.000,341,220
8000089,8000089,NEW LAKES,N LK,"Los Angeles, County of (WN Nature Center)",4270617,4122445,216,0,0.000,-0.000,341,220
8000128,8000128,8000128,EO8A,"Los Angeles, County of, Sanitation District #18",4283063,4122621,300,0,0.000,-0.000,338,220
8000130,8000130,8000130,E10A,"Los Angeles, County of, Sanitation District #18",4284468,4122833,300,0,0.000,-0.000,338,220
8000131,8000131,8000131,E11A,"Los Angeles, County of, Sanitation District #18",4284741,4122932,300,0,0.000,-0.000,338,220
11902098,11902098,1-LO,1-LO,Los Flores Mutual Water Company,4273755,4133629,257,0,0.000,-0.000,341,220
21902098,11902098,1-LO,1-HI,Los Flores Mutual Water Company,4273755,4133629,257,0,0.000,-0.000,341,220
1900117,1900117,36230,36230,Manning Brothers,4309599,4148991,453,0,0.000,-0.000,341,220
8000109,8000109,1,1,Maple Water Company,4305665,4129691,350,0,0.000,-0.000,342,220
1900042,1900042,W-2,2,Maple Water Company,4305649,4129723,352,0,0.000,-0.000,342,220
1900694,1900694,3,3,Metropolitan Water District,4349818,4158755,1160,0,0.000,-0.000,342,220
8000075,8000075,1,1,Miller Brewing Company,4305770,4158150,549,402,47975.671,-47975.671,342,220
8000034,8000034,8000034,,Miller Brewing Company,4312994,4162695,626,0,0.000,-0.000,342,220
1902589,1902589,1,1,"Mnoian, Paul, et al. (also B&B RED-I-MIX)",4289942,4153273,372,0,0.000,-0.000,337,220
1900417,1900417,1,1,"Monrovia, City of",4286851,4153765,364,0,0.000,-0.000,342,220
1900418,1900418,2,2,"Monrovia, City of",4286860,4153762,368,27,3222.247,-3222.247,342,220
1900419,1900419,3,3,"Monrovia, City of",4287262,4155168,371,1670,199301.918,-199301.918,342,220
1900420,1900420,4,4,"Monrovia, City of",4288722,4155000,378,1573,187725.699,-187725.699,342,220
1940104,1940104,5,5,"Monrovia, City of",4287688,4154212,370,1435,171256.438,-171256.438,342,220
8000171,8000171,6,6,"Monrovia, City of",4287377,4155257,368,2178,259927.890,-259927.890,342,220
1900453,1900453,1,1,"Monterey Park, City of",4261517,4134762,263,97,11576.219,-11576.219,342,220
8000196,8000196,15,15,"Monterey Park, City of",4266010,4133301,250,1879,224244.493,-224244.493,342,221
1900454,1900454,2,2,"Monterey Park, City of",4261734,4134736,263,0,0.000,-0.000,342,220
1900455,1900455,3,3,"Monterey Park, City of",4261704,4134410,261,0,0.000,-0.000,342,220
1900456,1900456,4,4,"Monterey Park, City of",4261749,4134078,260,0,0.000,-0.000,342,220
1900457,1900457,5,5,"Monterey Park, City of",4261041,4133621,259,1169,139511.342,-139511.342,342,220
1900458,1900458,6,6,"Monterey Park, City of",4261204,4133459,257,0,0.000,-0.000,342,220
8000195,8000195,8000195,201W7,"Monterey Park, City of",4272609,4121594,250,4521,539547.288,-539547.288,346,221
8000126,8000126,FERN,FERN,"Monterey Park, City of",4261604,4134171,256,271,32341.808,-32341.808,342,221
1902818,1902818,MP10,10,"Monterey Park, City of",4260786,4134689,269,1444,172330.521,-172330.521,342,220
1903033,1903033,MP12,12,"Monterey Park, City of",4264426,4132494,232,2743,327356.384,-327356.384,342,220
1903092,1903092,MP14,14,"Monterey Park, City of",4262210,4131783,248,0,0.000,-0.000,342,221
1902372,1902372,MP7,7,"Monterey Park, City of",4264877,4133954,239,0,0.000,-0.000,342,220
1902373,1902373,MP8,8,"Monterey Park, City of",4265741,4133965,233,0,0.000,-0.000,342,220
1902690,1902690,MP9,9,"Monterey Park, City of",4264570,4133098,233,537,64086.904,-64086.904,342,220
1900043,1900043,1900043,,Owl Rock Products Company,4287522,4154138,360,0,0.000,-0.000,342,221
1902241,1902241,1902241,,Owl Rock Products Company,4295308,4152257,405,0,0.000,-0.000,343,221
1903119,1903119,1903119,VULCAN,Owl Rock Products Company,4310525,4164984,635,117,13963.068,-13963.068,336,221
1903119,1903119,1903119,,Owl Rock Products Company,4310525,4164984,635,0,0.000,-0.000,343,221
1902169,1902169,1,1,"Polopolus, et al.",4301521,4148709,414,0,0.000,-0.000,343,221
8000138,8000138,QVH-1,,Queen of the Valley Hospital,4304669,4136143,362,0,0.000,-0.000,343,221
1901521,1901521,1 SOUTH,1 SOUTH,Richwood Mutual Water Company,4282530,4141059,307,0,0.000,-0.000,343,221
1901522,1901522,2 NORTH,2 NORTH,Richwood Mutual Water Company,4282546,4141322,296,0,0.000,-0.000,343,221
1900094,1900094,1,1,Rose Hills Memorial Park Association,4272801,4117962,217,326,38905.644,-38905.644,343,221
1900095,11900095,2,2,Rose Hills Memorial Park Association,4273894,4120008,206,0,0.000,-0.000,343,221
1900052,1900052,3,3,Rose Hills Memorial Park Association,4273696,4119770,220,0,0.000,-0.000,343,221
1902790,1902790,4,4,Rose Hills Memorial Park Association,4273192,4119470,221,187,22317.041,-22317.041,343,221
1900120,1900120,1 NORTH,1-NORTH,Rurban Homes Mutual Water Company,4286515,4146038,330,174,20765.589,-20765.589,343,221
1900121,1900121,2 SOUTH,2-SOUTH,Rurban Homes Mutual Water Company,4286383,4145842,331,0,0.000,-0.000,343,221
1900547,1900547,SGCC1,1,San Gabriel Country Club,4258044,4153526,498,29,3460.932,-3460.932,344,221
1902979,1902979,SGCC2,2,San Gabriel Country Club,4258247,4153568,495,229,27329.425,-27329.425,344,221
1902786,1902786,10,10,San Gabriel County Water District,4260772,4148456,398,0,0.000,-0.000,344,221
1902786,1902786,10,1,San Gabriel County Water District,4260772,4148456,398,0,0.000,-0.000,345,221
8000067,8000067,11,11,San Gabriel County Water District,4261358,4145831,370,459,54778.192,-54778.192,344,221
8000067,8000067,11,,San Gabriel County Water District,4261358,4145831,370,0,0.000,-0.000,347,221
8000123,8000123,12,12,San Gabriel County Water District,4261511,4145461,368,1283,153116.384,-153116.384,344,221
8000133,8000133,14,14,San Gabriel County Water District,4257405,4140980,322,947,113017.315,-113017.315,344,221
1901671,1901671,7,7,San Gabriel County Water District,4256856,4154564,516,0,0.000,-0.000,344,221
1901672,1901672,8,8,San Gabriel County Water District,4253426,4150060,429,0,0.000,-0.000,344,221
1902785,1902785,9,9,San Gabriel County Water District,4259679,4150715,438,1526,182116.603,-182116.603,344,221
1901669,1901669,BRA 5,5 BRA,San Gabriel County Water District,4261372,4145526,369,0,0.000,-0.000,344,221
1900739,41900739,11A,11A,San Gabriel Valley Water Company,4281414,4127946,249,1543,184145.425,-184145.425,344,222
1900745,41900745,11B,11B,San Gabriel Valley Water Company,4281121,4127801,249,1201,143330.301,-143330.301,344,222
8000083,480000832,11B7,11B7,San Gabriel Valley Water Company,4281414,4127946,278,0,0.000,-0.000,344,222
1902713,41902713,11C,11C,San Gabriel Valley Water Company,4280919,4127706,251,725,86523.288,-86523.288,344,222
1900729,11900729,1B,1B,San Gabriel Valley Water Company,4285018,4144062,320,305,36399.452,-36399.452,344,221
8000081,180000812,1B4,1B4,San Gabriel Valley Water Company,4285018,4144062,340,0,0.000,-0.000,344,221
8000082,180000822,1B5,1B5,San Gabriel Valley Water Company,4285025,4144049,340,0,0.000,-0.000,344,221
1902946,11902946,1C,1C,San Gabriel Valley Water Company,4285025,4144049,320,50,5967.123,-5967.123,344,221
8000102,18000102,1D,1D,San Gabriel Valley Water Company,4284958,4144190,320,2778,331533.370,-331533.370,344,222
8000172,8000172,1E,1E,San Gabriel Valley Water Company,4284876,4144058,319,1787,213264.986,-213264.986,344,221
1900749,21900749,2C,2C,San Gabriel Valley Water Company,4279836,4147043,309,0,0.000,-0.000,344,222
1902857,21902857,2D,2D,San Gabriel Valley Water Company,4279877,4146673,311,816,97383.452,-97383.452,344,222
8000065,28000065,2E,2E,San Gabriel Valley Water Company,4279829,4147050,313,1362,162544.438,-162544.438,344,222
8000197,8000197,8000197,2F,San Gabriel Valley Water Company,4279871,4146702,305,617,73634.301,-73634.301,344,221
1900736,31900736,8A,8A,San Gabriel Valley Water Company,4266996,4134665,239,0,0.000,-0.000,344,222
1900746,31900746,8B,8B,San Gabriel Valley Water Company,4266967,4134621,232,7,835.397,-835.397,344,222
1900747,31900747,8C,8C,San Gabriel Valley Water Company,4266903,4134575,237,1077,128531.836,-128531.836,344,222
1903103,319031032,8D,8D,San Gabriel Valley Water Company,4267299,4135122,240,1727,206104.438,-206104.438,344,222
8000113,8000113,8E,8E,San Gabriel Valley Water Company,4267299,4135122,239,52,6205.808,-6205.808,344,221
8000169,8000169,8F,8F,San Gabriel Valley Water Company,4267166,4134979,248,39,4654.356,-4654.356,344,221
1902635,81902635,B1,B1,San Gabriel Valley Water Company,4277875,4123479,245,0,0.000,-0.000,344,222
1901439,91901439,B11A,B11A,San Gabriel Valley Water Company,4297156,4128099,312,0,0.000,-0.000,344,222
1901439,91901439,B11A,5,San Gabriel Valley Water Company,4297156,4128099,312,0,0.000,-0.000,347,222
