"recordation_number","location_recordation_number","well_id","appendix_name","owner","x_stateplane_nad27_ca_zone7_ft","y_stateplane_nad27_ca_zone7_ft","ground_surface_ft_msl","production_2014_15_afy","gflow_pumping_ft3_day_positive_extraction","modflow_well_ft3_day_negative_extraction","production_pdf_page","location_pdf_page"
"1901526","1901526","02E","2-E","Glendora, City of","4334207","4166882","968","173","20646.247","-20646.247","340","219"
"8000149","8000149","05E","5-E","Glendora, City of","4310923","4165579","662","1810","216009.863","-216009.863","340","219"
"1900829","1900829","08E","8-E","Glendora, City of","4313383","4166317","681","1305","155741.918","-155741.918","340","219"
"1900830","1900830","09E","9-E","Glendora, City of","4313380","4166586","681","1931","230450.301","-230450.301","340","219"
"1900828","1900828","10E","10-E","Glendora, City of","4333049","4165127","910","15","1790.137","-1790.137","340","219"
"1900826","1900826","11E","11-E","Glendora, City of","4332051","4164083","857","381","45469.479","-45469.479","340","219"
"1900827","1900827","12G","12-G","Glendora, City of","4313208","4166128","681","1878","224125.151","-224125.151","340","219"
"8000184","8000184","13-E","13-E","Glendora, City of","4306002","4151279","466","951","113494.685","-113494.685","340","219"
"8000212","8000212","HWY-2","HIGHWAY 2","Golden State Water Company","4330064","4157636","732","838","100008.986","-100008.986","345","219"
"1901178","1901178","NORTH","NORTH","Hemlock Mutual Water Company","4285942","4147212","337","28","3341.589","-3341.589","340","219"
"1902806","1902806","SOUTH","SOUTH","Hemlock Mutual Water Company","4285929","4147139","337","47","5609.096","-5609.096","340","219"
"8000209","8000209","8000209","5","La Puente Valley County Water District","4297769","4136717","340","2882","343944.986","-343944.986","341","220"
"1901460","1901460","LaPuente 2","2","La Puente Valley County Water District","4297650","4136806","337","324","38666.959","-38666.959","341","219"
"1902859","1902859","LaPuente3","3","La Puente Valley County Water District","4297918","4136616","335","57","6802.521","-6802.521","341","219"
"1901492","1901492","1 EL (#409)","1 EL","Livingston-Graham, Inc.","4290530","4150481","365","124","14798.466","-14798.466","341","220"
"8000070","8000070","SANTA FE 1","1 SF","Los Angeles, County of","4305251","4156787","520","936","111704.548","-111704.548","341","220"
"8000075","8000075","1","1","Miller Brewing Company","4305770","4158150","549","402","47975.671","-47975.671","342","220"
"1900418","1900418","2","2","Monrovia, City of","4286860","4153762","368","27","3222.247","-3222.247","342","220"
"1900419","1900419","3","3","Monrovia, City of","4287262","4155168","371","1670","199301.918","-199301.918","342","220"
"1900420","1900420","4","4","Monrovia, City of","4288722","4155000","378","1573","187725.699","-187725.699","342","220"
"1940104","1940104","5","5","Monrovia, City of","4287688","4154212","370","1435","171256.438","-171256.438","342","220"
"8000171","8000171","6","6","Monrovia, City of","4287377","4155257","368","2178","259927.890","-259927.890","342","220"
"1900453","1900453","1","1","Monterey Park, City of","4261517","4134762","263","97","11576.219","-11576.219","342","220"
"8000196","8000196","15","15","Monterey Park, City of","4266010","4133301","250","1879","224244.493","-224244.493","342","221"
"1900457","1900457","5","5","Monterey Park, City of","4261041","4133621","259","1169","139511.342","-139511.342","342","220"
"8000195","8000195","8000195","201W7","Monterey Park, City of","4272609","4121594","250","4521","539547.288","-539547.288","346","221"
"8000126","8000126","FERN","FERN","Monterey Park, City of","4261604","4134171","256","271","32341.808","-32341.808","342","221"
"1902818","1902818","MP10","10","Monterey Park, City of","4260786","4134689","269","1444","172330.521","-172330.521","342","220"
"1903033","1903033","MP12","12","Monterey Park, City of","4264426","4132494","232","2743","327356.384","-327356.384","342","220"
"1902690","1902690","MP9","9","Monterey Park, City of","4264570","4133098","233","537","64086.904","-64086.904","342","220"
"1903119","1903119","1903119","VULCAN","Owl Rock Products Company","4310525","4164984","635","117","13963.068","-13963.068","336","221"
"1900094","1900094","1","1","Rose Hills Memorial Park Association","4272801","4117962","217","326","38905.644","-38905.644","343","221"
"1902790","1902790","4","4","Rose Hills Memorial Park Association","4273192","4119470","221","187","22317.041","-22317.041","343","221"
"1900120","1900120","1 NORTH","1-NORTH","Rurban Homes Mutual Water Company","4286515","4146038","330","174","20765.589","-20765.589","343","221"
"1900547","1900547","SGCC1","1","San Gabriel Country Club","4258044","4153526","498","29","3460.932","-3460.932","344","221"
"1902979","1902979","SGCC2","2","San Gabriel Country Club","4258247","4153568","495","229","27329.425","-27329.425","344","221"
"8000067","8000067","11","11","San Gabriel County Water District","4261358","4145831","370","459","54778.192","-54778.192","344","221"
"8000123","8000123","12","12","San Gabriel County Water District","4261511","4145461","368","1283","153116.384","-153116.384","344","221"
"8000133","8000133","14","14","San Gabriel County Water District","4257405","4140980","322","947","113017.315","-113017.315","344","221"
"1902785","1902785","9","9","San Gabriel County Water District","4259679","4150715","438","1526","182116.603","-182116.603","344","221"
"1900739","41900739","11A","11A","San Gabriel Valley Water Company","4281414","4127946","249","1543","184145.425","-184145.425","344","222"
"1900745","41900745","11B","11B","San Gabriel Valley Water Company","4281121","4127801","249","1201","143330.301","-143330.301","344","222"
"1902713","41902713","11C","11C","San Gabriel Valley Water Company","4280919","4127706","251","725","86523.288","-86523.288","344","222"
"1900729","11900729","1B","1B","San Gabriel Valley Water Company","4285018","4144062","320","305","36399.452","-36399.452","344","221"
